当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
large_down,今天大跌(跌幅<-5%)，第二天概率情况,竞价,100.0,0.0,0.0,2
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,2
large_down,今天大跌(跌幅<-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,2
large_down,今天大跌(跌幅<-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,2
large_down,今天大跌(跌幅<-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,2
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1小时,100.0,0.0,0.0,2
micro_up,今天微涨(涨幅<1%)，第二天概率情况,竞价,66.67,33.33,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1分钟,66.67,33.33,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,5分钟,66.67,33.33,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,15分钟,66.67,33.33,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,30分钟,66.67,33.33,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1小时,66.67,33.33,0.0,3
1-3,今天1-3%，明天概率情况,竞价,33.33,66.67,0.0,3
1-3,今天1-3%，明天概率情况,1分钟,33.33,66.67,0.0,3
1-3,今天1-3%，明天概率情况,5分钟,33.33,66.67,0.0,3
1-3,今天1-3%，明天概率情况,15分钟,33.33,66.67,0.0,3
1-3,今天1-3%，明天概率情况,30分钟,33.33,66.67,0.0,3
1-3,今天1-3%，明天概率情况,1小时,33.33,66.67,0.0,3
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,0.0,100.0,0.0,5
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,60.0,40.0,0.0,5
small_down,今天小跌(跌幅<-1%)，第二天概率情况,5分钟,60.0,40.0,0.0,5
small_down,今天小跌(跌幅<-1%)，第二天概率情况,15分钟,60.0,40.0,0.0,5
small_down,今天小跌(跌幅<-1%)，第二天概率情况,30分钟,60.0,40.0,0.0,5
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1小时,60.0,40.0,0.0,5
3-5,今天3-5%，明天概率情况,竞价,0.0,100.0,0.0,5
3-5,今天3-5%，明天概率情况,1分钟,0.0,100.0,0.0,5
3-5,今天3-5%，明天概率情况,5分钟,0.0,100.0,0.0,5
3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,5
3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,5
3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,5
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,0.0,100.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,100.0,0.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,0.0,100.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0.0,100.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0.0,100.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0.0,100.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0.0,100.0,0.0,1
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0.0,100.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,100.0,0.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,1
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,100.0,0.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,竞价,0.0,100.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,1分钟,0.0,100.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,5分钟,0.0,100.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,15分钟,0.0,100.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,30分钟,0.0,100.0,0.0,1
flat,今天平开(涨幅=0%)，第二天概率情况,1小时,0.0,100.0,0.0,1
